"Snapdragon 8 Elite (Gen 4)
"Kirin 710
HiSilicon","23
 D",250554,354 / 1193,"8
 (4+4)",2200 MHz,Mali-G51 MP4
"Snapdragon 662
Qualcomm","25
 C",245706,339 / 1208,"8
 (4+4)",2000 MHz,Adreno 610
"Snapdragon 665
Qualcomm","25
 C",235500,335 / 1166,"8
 (4+4)",2000 MHz,Adreno 610
"Helio A22
MediaTek","20
 D",123031,332 / 1145,"4
 (4)",2000 MHz,PowerVR GE8300
"Exynos 9611
Samsung","24
 D",259746,370 / 1103,"8
 (4+4)",2300 MHz,Mali-G72 MP3
"Helio P60
MediaTek","22
 D",186518,299 / 1155,"8
 (4+4)",2000 MHz,Mali-G72 MP3
"Kirin 710A
HiSilicon","23
 D",238420,319 / 1125,"8
 (4+4)",2000 MHz,Mali-G51 MP4
"Exynos 9610
Samsung","23
 D",259680,373 / 1042,"8
 (4+4)",2300 MHz,Mali-G72 MP3
"Helio P70
MediaTek","23
 D",233983,329 / 1066,"8
 (4+4)",2100 MHz,Mali-G72 MP3
"Snapdragon 636
Qualcomm","20
 D",212492,294 / 1083,"8
 (4+4)",1800 MHz,Adreno 509
"Snapdragon 632
Qualcomm","21
 D",182478,295 / 1037,"8
 (4+4)",1800 MHz,Adreno 506
"Snapdragon 460
Qualcomm","24
 D",196586,272 / 992,"8
 (4+4)",1800 MHz,Adreno 610
"Exynos 7904
Samsung","21
 D",187120,286 / 937,"8
 (2+6)",1800 MHz,Mali-G71 MP2
"Exynos 8890
Samsung","23
 D",299737,321 / 885,"8
 (4+4)",2300 MHz,Mali-T880 MP12
"Exynos 7885
Samsung","20
 D",202681,334 / 862,"8
 (2+6)",2200 MHz,Mali-G71 MP2
"Snapdragon 821
Qualcomm","23
 D",263454,390 / 792,"4
 (2+2)",2342 MHz,Adreno 530
"Snapdragon 820
Qualcomm","21
 D",259958,323 / 821,"4
 (2+2)",2150 MHz,Adreno 530
"Snapdragon 630
Qualcomm","20
 D",167245,181 / 960,"8
 (4+4)",2200 MHz,Adreno 508
"Helio G37
MediaTek","22
 D",152974,205 / 911,"8
 (4+4)",2300 MHz,PowerVR GE8320
"Exynos 850
Samsung","24
 D",187573,222 / 868,"8
 (8)",2000 MHz,Mali-G52 MP1
"Helio P35
MediaTek","22
 D",147559,260 / 812,"8
 (4+4)",2300 MHz,PowerVR GE8320
"Helio G36
MediaTek","22
 D",140941,229 / 842,"8
 (4+4)",2200 MHz,PowerVR GE8320
"Exynos 7884B
Samsung","20
 D",155644,254 / 802,"8
 (2+6)",1560 MHz,Mali-G71 MP2
"Snapdragon 625
Qualcomm","18
 D",167228,189 / 862,"8
 (8)",2000 MHz,Adreno 506
"Snapdragon 430
Qualcomm","14
 D",134889,205 / 827,"8
 (8)",1400 MHz,Adreno 505
"Kirin 659
HiSilicon","17
 D",103757,214 / 809,"8
 (4+4)",2360 MHz,Mali-T830 MP2
"Helio G35
MediaTek","22
 D",144387,189 / 810,"8
 (4+4)",2300 MHz,PowerVR GE8320
"Snapdragon 439
Qualcomm","20
 D",150067,199 / 795,"8
 (4+4)",2000 MHz,Adreno 505
"Helio P22
MediaTek","20
 D",122540,233 / 723,"8
 (4+4)",2000 MHz,PowerVR GE8320
"Snapdragon 450
Qualcomm","19
 D",135122,168 / 762,"8
 (8)",1800 MHz,Adreno 506
"Unisoc SC9863A
Unisoc","15
 D",119450,164 / 725,"8
 (4+4)",1600 MHz,PowerVR GE8322
"Helio G25
MediaTek","21
 D",125125,185 / 521,"8
 (4+4)",2000 MHz,PowerVR GE8320
"Exynos 7870
Samsung","17
 D",144731,172 / 492,"8
 (8)",1600 MHz,Mali-T830 MP1
"Snapdragon 801
Qualcomm","13
 D",125245,205 / 698,"4
 (4)",2500 MHz,Adreno 330
"Snapdragon 435
Qualcomm","12
 D",117378,141 / 618,"8
 (8)",1400 MHz,Adreno 505
"Snapdragon 425
Qualcomm","12
 D",135474,130 / 488,"4
 (4)",1400 MHz,Adreno 308
"MediaTek MT6737
MediaTek","10
 D",59089,141 / 594,"4
 (4)",1300 MHz,Mali-T720 MP2
